"70BCSV 	",
1508.02,-55.841
1508.04,-55.838
1508.06,-55.822
1508.08,-55.822
1508.1,-55.808
1508.12,-55.801
1508.14,-55.789
1508.16,-55.785
1508.18,-55.77
1508.2,-55.765
1508.22,-55.755
1508.24,-55.748
1508.26,-55.742
1508.28,-55.73
1508.3,-55.727
1508.32,-55.718
1508.34,-55.704
1508.36,-55.705
1508.38,-55.694
1508.4,-55.684
1508.42,-55.67
1508.44,-55.664
1508.46,-55.658
1508.48,-55.649
1508.5,-55.636
1508.52,-55.624
1508.54,-55.625
1508.56,-55.607
1508.58,-55.605
1508.6,-55.59
1508.62,-55.585
1508.64,-55.57
1508.66,-55.567
1508.68,-55.556
1508.7,-55.551
1508.72,-55.537
1508.74,-55.534
1508.76,-55.528
1508.78,-55.515
1508.8,-55.505
1508.82,-55.495
1508.84,-55.494
1508.86,-55.482
1508.88,-55.468
1508.9,-55.461
1508.92,-55.45
1508.94,-55.445
1508.96,-55.432
1508.98,-55.429
1509,-55.415
1509.02,-55.404
1509.04,-55.403
1509.06,-55.387
1509.08,-55.386
1509.1,-55.374
1509.12,-55.367
1509.14,-55.356
1509.16,-55.349
1509.18,-55.337
1509.2,-55.322
1509.22,-55.32
1509.24,-55.309
1509.26,-55.303
1509.28,-55.289
1509.3,-55.285
1509.32,-55.273
1509.34,-55.264
1509.36,-55.261
1509.38,-55.248
1509.4,-55.235
1509.42,-55.225
1509.44,-55.214
1509.46,-55.208
1509.48,-55.195
1509.5,-55.186
1509.52,-55.174
1509.54,-55.166
1509.56,-55.155
1509.58,-55.142
1509.6,-55.129
1509.62,-55.128
1509.64,-55.115
1509.66,-55.102
1509.68,-55.093
1509.7,-55.088
1509.72,-55.082
1509.74,-55.07
1509.76,-55.053
1509.78,-55.05
1509.8,-55.043
1509.82,-55.031
1509.84,-55.021
1509.86,-55.011
1509.88,-55.004
1509.9,-54.991
1509.92,-54.984
1509.94,-54.974
1509.96,-54.967
1509.98,-54.962
1510,-54.955
1510.02,-54.943
1510.04,-54.936
1510.06,-54.927
1510.08,-54.91
1510.1,-54.902
1510.12,-54.894
1510.14,-54.881
1510.16,-54.873
1510.18,-54.858
1510.2,-54.844
1510.22,-54.839
1510.24,-54.826
1510.26,-54.821
1510.28,-54.808
1510.3,-54.792
1510.32,-54.781
1510.34,-54.766
1510.36,-54.758
1510.38,-54.752
1510.4,-54.736
1510.42,-54.725
1510.44,-54.718
1510.46,-54.706
1510.48,-54.697
1510.5,-54.68
1510.52,-54.674
1510.54,-54.667
1510.56,-54.651
1510.58,-54.637
1510.6,-54.627
1510.62,-54.623
1510.64,-54.61
1510.66,-54.596
1510.68,-54.584
1510.7,-54.575
1510.72,-54.565
1510.74,-54.552
1510.76,-54.541
1510.78,-54.533
1510.8,-54.518
1510.82,-54.512
1510.84,-54.498
1510.86,-54.493
1510.88,-54.48
1510.9,-54.469
1510.92,-54.46
1510.94,-54.453
1510.96,-54.436
1510.98,-54.431
1511,-54.421
1511.02,-54.408
1511.04,-54.393
1511.06,-54.388
1511.08,-54.373
1511.1,-54.362
1511.12,-54.346
1511.14,-54.338
1511.16,-54.327
1511.18,-54.319
1511.2,-54.303
1511.22,-54.293
1511.24,-54.283
1511.26,-54.275
1511.28,-54.262
1511.3,-54.255
1511.32,-54.238
1511.34,-54.229
1511.36,-54.221
1511.38,-54.208
1511.4,-54.189
1511.42,-54.185
1511.44,-54.169
1511.46,-54.158
1511.48,-54.146
1511.5,-54.137
1511.52,-54.123
1511.54,-54.115
1511.56,-54.096
1511.58,-54.093
1511.6,-54.083
1511.62,-54.07
1511.64,-54.059
1511.66,-54.04
1511.68,-54.034
1511.7,-54.021
1511.72,-54.012
1511.74,-53.999
1511.76,-53.986
1511.78,-53.976
1511.8,-53.966
1511.82,-53.957
1511.84,-53.944
1511.86,-53.934
1511.88,-53.924
1511.9,-53.908
1511.92,-53.9
1511.94,-53.887
1511.96,-53.88
1511.98,-53.868
1512,-53.853
1512.02,-53.843
1512.04,-53.835
1512.06,-53.823
1512.08,-53.812
1512.1,-53.795
1512.12,-53.783
1512.14,-53.776
1512.16,-53.761
1512.18,-53.756
1512.2,-53.742
1512.22,-53.728
1512.24,-53.719
1512.26,-53.708
1512.28,-53.692
1512.3,-53.685
1512.32,-53.671
1512.34,-53.658
1512.36,-53.646
1512.38,-53.636
1512.4,-53.624
1512.42,-53.61
1512.44,-53.595
1512.46,-53.593
1512.48,-53.574
1512.5,-53.559
1512.52,-53.553
1512.54,-53.539
1512.56,-53.523
1512.58,-53.513
1512.6,-53.501
1512.62,-53.487
1512.64,-53.478
1512.66,-53.465
1512.68,-53.452
1512.7,-53.437
1512.72,-53.434
1512.74,-53.42
1512.76,-53.408
1512.78,-53.396
1512.8,-53.383
1512.82,-53.375
1512.84,-53.361
1512.86,-53.347
1512.88,-53.339
1512.9,-53.323
1512.92,-53.313
1512.94,-53.302
1512.96,-53.29
1512.98,-53.272
1513,-53.262
1513.02,-53.248
1513.04,-53.24
1513.06,-53.231
1513.08,-53.214
1513.1,-53.2
1513.12,-53.188
1513.14,-53.174
1513.16,-53.163
1513.18,-53.147
1513.2,-53.139
1513.22,-53.124
1513.24,-53.111
1513.26,-53.104
1513.28,-53.093
1513.3,-53.071
1513.32,-53.06
1513.34,-53.048
1513.36,-53.037
1513.38,-53.025
1513.4,-53.01
1513.42,-52.998
1513.44,-52.982
1513.46,-52.971
1513.48,-52.962
1513.5,-52.945
1513.52,-52.929
1513.54,-52.919
1513.56,-52.907
1513.58,-52.899
1513.6,-52.883
1513.62,-52.87
1513.64,-52.858
1513.66,-52.843
1513.68,-52.833
1513.7,-52.819
1513.72,-52.807
1513.74,-52.795
1513.76,-52.788
1513.78,-52.77
1513.8,-52.758
1513.82,-52.75
1513.84,-52.731
1513.86,-52.724
1513.88,-52.711
1513.9,-52.689
1513.92,-52.679
1513.94,-52.669
1513.96,-52.653
1513.98,-52.641
1514,-52.628
1514.02,-52.614
1514.04,-52.596
1514.06,-52.58
1514.08,-52.573
1514.1,-52.556
1514.12,-52.544
1514.14,-52.535
1514.16,-52.522
1514.18,-52.505
1514.2,-52.492
1514.22,-52.482
1514.24,-52.467
1514.26,-52.454
1514.28,-52.439
1514.3,-52.424
1514.32,-52.412
1514.34,-52.395
1514.36,-52.385
1514.38,-52.369
1514.4,-52.356
1514.42,-52.339
1514.44,-52.329
1514.46,-52.317
1514.48,-52.303
1514.5,-52.29
1514.52,-52.276
1514.54,-52.265
1514.56,-52.248
1514.58,-52.238
1514.6,-52.225
1514.62,-52.209
1514.64,-52.198
1514.66,-52.189
1514.68,-52.168
1514.7,-52.158
1514.72,-52.147
1514.74,-52.131
1514.76,-52.12
1514.78,-52.103
1514.8,-52.09
1514.82,-52.078
1514.84,-52.063
1514.86,-52.052
1514.88,-52.032
1514.9,-52.019
1514.92,-52.003
1514.94,-51.995
1514.96,-51.976
1514.98,-51.961
1515,-51.947
1515.02,-51.934
1515.04,-51.919
1515.06,-51.905
1515.08,-51.886
1515.1,-51.873
1515.12,-51.86
1515.14,-51.846
1515.16,-51.831
1515.18,-51.813
1515.2,-51.801
1515.22,-51.785
1515.24,-51.77
1515.26,-51.754
1515.28,-51.738
1515.3,-51.728
1515.32,-51.713
1515.34,-51.696
1515.36,-51.675
1515.38,-51.669
1515.4,-51.656
1515.42,-51.639
1515.44,-51.625
1515.46,-51.615
1515.48,-51.6
1515.5,-51.582
1515.52,-51.566
1515.54,-51.553
1515.56,-51.541
1515.58,-51.522
1515.6,-51.512
1515.62,-51.493
1515.64,-51.485
1515.66,-51.467
1515.68,-51.455
1515.7,-51.439
1515.72,-51.423
1515.74,-51.411
1515.76,-51.392
1515.78,-51.376
1515.8,-51.365
1515.82,-51.351
1515.84,-51.331
1515.86,-51.317
1515.88,-51.3
1515.9,-51.283
1515.92,-51.267
1515.94,-51.252
1515.96,-51.235
1515.98,-51.22
1516,-51.2
1516.02,-51.184
1516.04,-51.168
1516.06,-51.15
1516.08,-51.133
1516.1,-51.115
1516.12,-51.098
1516.14,-51.086
1516.16,-51.07
1516.18,-51.054
1516.2,-51.036
1516.22,-51.017
1516.24,-51.004
1516.26,-50.991
1516.28,-50.974
1516.3,-50.956
1516.32,-50.945
1516.34,-50.924
1516.36,-50.906
1516.38,-50.889
1516.4,-50.873
1516.42,-50.854
1516.44,-50.837
1516.46,-50.821
1516.48,-50.801
1516.5,-50.784
1516.52,-50.773
1516.54,-50.752
1516.56,-50.736
1516.58,-50.721
1516.6,-50.701
1516.62,-50.682
1516.64,-50.664
1516.66,-50.645
1516.68,-50.628
1516.7,-50.61
1516.72,-50.595
1516.74,-50.578
1516.76,-50.563
1516.78,-50.542
1516.8,-50.525
1516.82,-50.509
1516.84,-50.493
1516.86,-50.472
1516.88,-50.457
1516.9,-50.438
1516.92,-50.42
1516.94,-50.401
1516.96,-50.381
1516.98,-50.364
1517,-50.345
1517.02,-50.331
1517.04,-50.311
1517.06,-50.292
1517.08,-50.277
1517.1,-50.256
1517.12,-50.241
1517.14,-50.223
1517.16,-50.204
1517.18,-50.186
1517.2,-50.17
1517.22,-50.155
1517.24,-50.136
1517.26,-50.116
1517.28,-50.098
1517.3,-50.08
1517.32,-50.059
1517.34,-50.046
1517.36,-50.023
1517.38,-50.007
1517.4,-49.991
1517.42,-49.969
1517.44,-49.954
1517.46,-49.932
1517.48,-49.916
1517.5,-49.898
1517.52,-49.882
1517.54,-49.861
1517.56,-49.843
1517.58,-49.828
1517.6,-49.809
1517.62,-49.787
1517.64,-49.768
1517.66,-49.744
1517.68,-49.723
1517.7,-49.701
1517.72,-49.68
1517.74,-49.66
1517.76,-49.643
1517.78,-49.617
1517.8,-49.599
1517.82,-49.58
1517.84,-49.56
1517.86,-49.538
1517.88,-49.512
1517.9,-49.492
1517.92,-49.474
1517.94,-49.452
1517.96,-49.437
1517.98,-49.41
1518,-49.385
1518.02,-49.366
1518.04,-49.344
1518.06,-49.324
1518.08,-49.301
1518.1,-49.281
1518.12,-49.259
1518.14,-49.236
1518.16,-49.217
1518.18,-49.196
1518.2,-49.176
1518.22,-49.154
1518.24,-49.131
1518.26,-49.113
1518.28,-49.091
1518.3,-49.069
1518.32,-49.048
1518.34,-49.027
1518.36,-49.006
1518.38,-48.984
1518.4,-48.964
1518.42,-48.941
1518.44,-48.919
1518.46,-48.897
1518.48,-48.874
1518.5,-48.851
1518.52,-48.833
1518.54,-48.81
1518.56,-48.783
1518.58,-48.762
1518.6,-48.738
1518.62,-48.719
1518.64,-48.689
1518.66,-48.666
1518.68,-48.642
1518.7,-48.62
1518.72,-48.598
1518.74,-48.576
1518.76,-48.552
1518.78,-48.527
1518.8,-48.502
1518.82,-48.477
1518.84,-48.451
1518.86,-48.427
1518.88,-48.402
1518.9,-48.381
1518.92,-48.355
1518.94,-48.334
1518.96,-48.309
1518.98,-48.283
1519,-48.258
1519.02,-48.233
1519.04,-48.209
1519.06,-48.184
1519.08,-48.157
1519.1,-48.133
1519.12,-48.114
1519.14,-48.088
1519.16,-48.054
1519.18,-48.03
1519.2,-48.004
1519.22,-47.98
1519.24,-47.95
1519.26,-47.927
1519.28,-47.903
1519.3,-47.874
1519.32,-47.849
1519.34,-47.823
1519.36,-47.801
1519.38,-47.773
1519.4,-47.749
1519.42,-47.725
1519.44,-47.7
1519.46,-47.669
1519.48,-47.645
1519.5,-47.62
1519.52,-47.585
1519.54,-47.561
1519.56,-47.54
1519.58,-47.509
1519.6,-47.476
1519.62,-47.451
1519.64,-47.422
1519.66,-47.392
1519.68,-47.361
1519.7,-47.334
1519.72,-47.307
1519.74,-47.281
1519.76,-47.25
1519.78,-47.222
1519.8,-47.193
1519.82,-47.167
1519.84,-47.135
1519.86,-47.102
1519.88,-47.076
1519.9,-47.046
1519.92,-47.022
1519.94,-46.989
1519.96,-46.959
1519.98,-46.932
1520,-46.897
1520.02,-46.873
1520.04,-46.839
1520.06,-46.808
1520.08,-46.78
1520.1,-46.747
1520.12,-46.715
1520.14,-46.685
1520.16,-46.654
1520.18,-46.623
1520.2,-46.594
1520.22,-46.564
1520.24,-46.535
1520.26,-46.504
1520.28,-46.475
1520.3,-46.441
1520.32,-46.407
1520.34,-46.38
1520.36,-46.348
1520.38,-46.316
1520.4,-46.285
1520.42,-46.253
1520.44,-46.222
1520.46,-46.189
1520.48,-46.16
1520.5,-46.13
1520.52,-46.092
1520.54,-46.061
1520.56,-46.03
1520.58,-45.999
1520.6,-45.963
1520.62,-45.931
1520.64,-45.897
1520.66,-45.862
1520.68,-45.83
1520.7,-45.796
1520.72,-45.763
1520.74,-45.726
1520.76,-45.695
1520.78,-45.659
1520.8,-45.621
1520.82,-45.588
1520.84,-45.555
1520.86,-45.52
1520.88,-45.488
1520.9,-45.452
1520.92,-45.414
1520.94,-45.379
1520.96,-45.342
1520.98,-45.303
1521,-45.27
1521.02,-45.236
1521.04,-45.202
1521.06,-45.163
1521.08,-45.131
1521.1,-45.094
1521.12,-45.053
1521.14,-45.017
1521.16,-44.983
1521.18,-44.946
1521.2,-44.911
1521.22,-44.878
1521.24,-44.838
1521.26,-44.803
1521.28,-44.766
1521.3,-44.733
1521.32,-44.692
1521.34,-44.657
1521.36,-44.624
1521.38,-44.582
1521.4,-44.548
1521.42,-44.512
1521.44,-44.473
1521.46,-44.432
1521.48,-44.395
1521.5,-44.359
1521.52,-44.316
1521.54,-44.28
1521.56,-44.245
1521.58,-44.207
1521.6,-44.167
1521.62,-44.124
1521.64,-44.083
1521.66,-44.043
1521.68,-44.007
1521.7,-43.971
1521.72,-43.931
1521.74,-43.894
1521.76,-43.852
1521.78,-43.812
1521.8,-43.774
1521.82,-43.735
1521.84,-43.695
1521.86,-43.657
1521.88,-43.616
1521.9,-43.576
1521.92,-43.537
1521.94,-43.498
1521.96,-43.461
1521.98,-43.423
1522,-43.383
1522.02,-43.344
1522.04,-43.304
1522.06,-43.265
1522.08,-43.227
1522.1,-43.186
1522.12,-43.145
1522.14,-43.102
1522.16,-43.062
1522.18,-43.022
1522.2,-42.982
1522.22,-42.943
1522.24,-42.902
1522.26,-42.863
1522.28,-42.818
1522.3,-42.778
1522.32,-42.739
1522.34,-42.698
1522.36,-42.66
1522.38,-42.613
1522.4,-42.572
1522.42,-42.534
1522.44,-42.49
1522.46,-42.447
1522.48,-42.404
1522.5,-42.364
1522.52,-42.321
1522.54,-42.279
1522.56,-42.236
1522.58,-42.194
1522.6,-42.15
1522.62,-42.106
1522.64,-42.063
1522.66,-42.022
1522.68,-41.981
1522.7,-41.94
1522.72,-41.9
1522.74,-41.858
1522.76,-41.816
1522.78,-41.774
1522.8,-41.731
1522.82,-41.689
1522.84,-41.648
1522.86,-41.609
1522.88,-41.566
1522.9,-41.523
1522.92,-41.482
1522.94,-41.439
1522.96,-41.397
1522.98,-41.356
1523,-41.314
1523.02,-41.274
1523.04,-41.233
1523.06,-41.195
1523.08,-41.152
1523.1,-41.109
1523.12,-41.066
1523.14,-41.026
1523.16,-40.983
1523.18,-40.942
1523.2,-40.903
1523.22,-40.864
1523.24,-40.824
1523.26,-40.777
1523.28,-40.733
1523.3,-40.689
1523.32,-40.652
1523.34,-40.61
1523.36,-40.564
1523.38,-40.52
1523.4,-40.478
1523.42,-40.436
1523.44,-40.394
1523.46,-40.353
1523.48,-40.312
1523.5,-40.27
1523.52,-40.231
1523.54,-40.188
1523.56,-40.138
1523.58,-40.1
1523.6,-40.063
1523.62,-40.013
1523.64,-39.973
1523.66,-39.931
1523.68,-39.893
1523.7,-39.85
1523.72,-39.809
1523.74,-39.766
1523.76,-39.726
1523.78,-39.683
1523.8,-39.642
1523.82,-39.602
1523.84,-39.561
1523.86,-39.519
1523.88,-39.48
1523.9,-39.435
1523.92,-39.395
1523.94,-39.35
1523.96,-39.309
1523.98,-39.276
1524,-39.235
1524.02,-39.195
1524.04,-39.153
1524.06,-39.107
1524.08,-39.064
1524.1,-39.019
1524.12,-38.991
1524.14,-38.953
1524.16,-38.913
1524.18,-38.872
1524.2,-38.819
1524.22,-38.774
1524.24,-38.732
1524.26,-38.697
1524.28,-38.655
1524.3,-38.618
1524.32,-38.579
1524.34,-38.54
1524.36,-38.496
1524.38,-38.461
1524.4,-38.419
1524.42,-38.38
1524.44,-38.342
1524.46,-38.305
1524.48,-38.265
1524.5,-38.212
1524.52,-38.184
1524.54,-38.139
1524.56,-38.098
1524.58,-38.06
1524.6,-38.02
1524.62,-37.984
1524.64,-37.942
1524.66,-37.901
1524.68,-37.861
1524.7,-37.824
1524.72,-37.781
1524.74,-37.74
1524.76,-37.703
1524.78,-37.664
1524.8,-37.621
1524.82,-37.588
1524.84,-37.546
1524.86,-37.505
1524.88,-37.464
1524.9,-37.426
1524.92,-37.394
1524.94,-37.355
1524.96,-37.317
1524.98,-37.278
1525,-37.24
1525.02,-37.198
1525.04,-37.158
1525.06,-37.128
1525.08,-37.094
1525.1,-37.057
1525.12,-37.014
1525.14,-36.97
1525.16,-36.928
1525.18,-36.893
1525.2,-36.854
1525.22,-36.813
1525.24,-36.78
1525.26,-36.743
1525.28,-36.704
1525.3,-36.669
1525.32,-36.631
1525.34,-36.591
1525.36,-36.555
1525.38,-36.52
1525.4,-36.487
1525.42,-36.438
1525.44,-36.401
1525.46,-36.379
1525.48,-36.326
1525.5,-36.293
1525.52,-36.257
1525.54,-36.223
1525.56,-36.188
1525.58,-36.148
1525.6,-36.114
1525.62,-36.083
1525.64,-36.045
1525.66,-36.005
1525.68,-35.968
1525.7,-35.929
1525.72,-35.889
1525.74,-35.851
1525.76,-35.814
1525.78,-35.776
1525.8,-35.734
1525.82,-35.706
1525.84,-35.666
1525.86,-35.624
1525.88,-35.585
1525.9,-35.548
1525.92,-35.507
1525.94,-35.465
1525.96,-35.433
1525.98,-35.407
1526,-35.374
1526.02,-35.337
1526.04,-35.301
1526.06,-35.258
1526.08,-35.214
1526.1,-35.178
1526.12,-35.147
1526.14,-35.111
1526.16,-35.075
1526.18,-35.046
1526.2,-35.01
1526.22,-34.977
1526.24,-34.94
1526.26,-34.903
1526.28,-34.87
1526.3,-34.837
1526.32,-34.8
1526.34,-34.765
1526.36,-34.717
1526.38,-34.694
1526.4,-34.652
1526.42,-34.617
1526.44,-34.587
1526.46,-34.556
1526.48,-34.517
1526.5,-34.479
1526.52,-34.443
1526.54,-34.412
1526.56,-34.378
1526.58,-34.343
1526.6,-34.308
1526.62,-34.274
1526.64,-34.243
1526.66,-34.211
1526.68,-34.176
1526.7,-34.145
1526.72,-34.104
1526.74,-34.078
1526.76,-34.04
1526.78,-34.006
1526.8,-33.971
1526.82,-33.933
1526.84,-33.896
1526.86,-33.856
1526.88,-33.815
1526.9,-33.789
1526.92,-33.755
1526.94,-33.717
1526.96,-33.678
1526.98,-33.639
1527,-33.595
1527.02,-33.551
1527.04,-33.513
1527.06,-33.481
1527.08,-33.44
1527.1,-33.402
1527.12,-33.365
1527.14,-33.327
1527.16,-33.29
1527.18,-33.256
1527.2,-33.218
1527.22,-33.183
1527.24,-33.148
1527.26,-33.116
1527.28,-33.074
1527.3,-33.037
1527.32,-33.012
1527.34,-32.973
1527.36,-32.939
1527.38,-32.904
1527.4,-32.873
1527.42,-32.844
1527.44,-32.81
1527.46,-32.775
1527.48,-32.741
1527.5,-32.707
1527.52,-32.67
1527.54,-32.635
1527.56,-32.597
1527.58,-32.558
1527.6,-32.524
